variant,description,candidate_source,candidate_source_events,overlap_removed_events,extra_events,extra_same_close_calendar_sum,extra_same_close_worst_sm,extra_same_close_neg_sm,extra_adverse10_calendar_sum,extra_adverse10_worst_sm,extra_adverse10_neg_sm,extra_adverse10_calendar_sum_exact,extra_adverse10_worst_sm_exact,extra_adverse10_neg_sm_exact,lead_same_close_calendar_sum_csv_artifact,lead_same_close_calendar_sum,lead_adverse10_calendar_sum_csv_artifact,lead_adverse10_calendar_sum,lead_adverse10_calendar_sum_exact,combo_same_close_calendar_sum,combo_same_close_delta_vs_lead,combo_same_close_worst_sm,combo_same_close_neg_sm,combo_same_close_trade_count,combo_adverse10_calendar_sum_additive,combo_adverse10_delta_vs_lead,combo_adverse10_calendar_sum_exact,combo_adverse10_delta_vs_lead_exact,combo_adverse10_worst_sm_exact,combo_adverse10_neg_sm_exact,combo_adverse10_trade_count_exact
wf5_low_eff_q20,5m train-calibrated low eff q20 candidate,wf_candidate,77,6,71,0.16077757051159655,-0.005610631963955422,2,0.05530303012360195,-0.019114261896073827,2,0.05530303012360195,-0.019114261896073827,2,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.46294979260899766,0.16077757051159652,-0.005610631963955422,2,133,0.28501950711660756,0.05530303012360195,0.28501950711660756,0.055303030123601965,-0.019114261896073827,2,133
wf3_low_eff_low_atr,3m train-calibrated low eff + low ATR candidate,wf_candidate,42,1,41,0.10028075217223097,-0.01076100863840464,2,0.05288195362310168,-0.01284041934192488,3,0.05288195362310168,-0.01284041934192488,3,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.40245297426963206,0.10028075217223092,-0.003350711133457839,1,103,0.2825984306161073,0.05288195362310168,0.2825984306161073,0.05288195362310169,-0.010289571324124445,2,103
wf3_low_eff_low_atr_ctx4h_up,3m train-calibrated low eff + low ATR with favorable prior 4h return,gate_search_candidate,16,1,15,0.06280282111479173,0.0022024010972469654,0,0.04633156468126182,-0.0018489359720416628,1,0.04633156468126182,-0.0018489359720416628,1,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3649750432121928,0.06280282111479168,0.0022024010972469654,0,77,0.27604804167426744,0.04633156468126182,0.27604804167426744,0.046331564681261844,-0.0018489359720416628,1,77
wf5_low_eff_low_atr,5m train-calibrated low eff + low ATR candidate,wf_candidate,37,2,35,0.0849205915760877,-0.003350711133457839,1,0.04260427991518698,-0.010289571324124445,2,0.04260427991518698,-0.010289571324124445,2,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.38709281367348874,0.08492059157608761,-0.003350711133457839,1,97,0.2723207569081926,0.04260427991518698,0.2723207569081926,0.04260427991518698,-0.010289571324124445,2,97
wf3_low_eff_q20,3m train-calibrated low eff q20 candidate,wf_candidate,90,4,86,0.16378958915725148,-0.0120394143944939,4,0.04210035149946957,-0.020416683217557206,4,0.04210035149946957,-0.020416683217557206,4,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.4659618112546525,0.1637895891572514,-0.005445996763955402,2,148,0.2718168284924752,0.04210035149946957,0.2718168284924752,0.042100351499469585,-0.01977362669607371,3,148
wf4_selected,4m trailing train dynamic selector,selected_trades,75,1,74,0.13966556013599324,-0.026317650997355443,3,0.040380872887219865,-0.03799946866151321,4,0.040380872887219865,-0.03799946866151321,4,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.4418377822333943,0.13966556013599318,-0.0038762027364013076,3,136,0.2700973498802255,0.040380872887219865,0.2700973498802255,0.04038087288721989,-0.024041261808454714,4,136
wf3_low_eff_low_atr_ctx12h_up,3m train-calibrated low eff + low ATR with favorable prior 12h return,gate_search_candidate,15,1,14,0.056999228749177594,-0.006924771256890323,1,0.03919518821900364,-0.008167884622434719,2,0.03919518821900364,-0.008167884622434719,2,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3591714508465787,0.056999228749177566,0.00031551519999999724,0,76,0.26891166521200927,0.03919518821900364,0.2689116652120092,0.03919518821900361,-0.0015856785323765273,1,76
static_low_eff_low_atr_pct,in-sample low eff_300s + low ATR percentile gate,static_events,49,1,48,0.08773357489759401,-0.01076100863840464,2,0.03341667832515251,-0.016782329336583204,4,0.03341667832515251,-0.016782329336583204,4,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.38990579699499506,0.08773357489759392,0.0008985987137670351,0,110,0.2631331553181581,0.03341667832515251,0.2631331553181581,0.03341667832515252,-0.010289571324124445,1,110
wf3_low_rf_slope_up,3m train-calibrated low RF + slope candidate,wf_candidate,65,2,63,0.09305858058409001,-0.0036939851364014013,4,0.03340664825778804,-0.013447178451265182,5,0.03340664825778804,-0.013447178451265182,5,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.39523080268149113,0.09305858058409,-0.0036939851364014013,4,125,0.2631231252507936,0.03340664825778804,0.2631231252507936,0.033406648257788024,-0.013447178451265182,5,125
wf4_low_eff_q20,4m train-calibrated low eff q20 candidate,wf_candidate,80,4,76,0.1425104454641885,-0.0179852434474079,3,0.03223562773809613,-0.024200070254889836,3,0.03223562773809613,-0.024200070254889836,3,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.4446826675615896,0.14251044546418845,-0.005610631963955422,2,138,0.26195210473110175,0.03223562773809613,0.26195210473110175,0.032235627738096156,-0.019114261896073827,3,138
static_level_far_sma_gap_up,in-sample level far from open + positive SMA5 gap gate,static_events,54,2,52,0.08162464652501254,-0.004367122408248155,3,0.02853218905190878,-0.009074696158361515,6,0.02853218905190878,-0.009074696158361515,6,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3837968686224137,0.08162464652501256,8.94135773074907e-05,0,114,0.25824866604491437,0.02853218905190878,0.2582486660449144,0.028532189051908824,-0.004824773251079688,3,114
wf4_low_eff_low_atr,4m train-calibrated low eff + low ATR candidate,wf_candidate,38,1,37,0.07211769086561357,-0.01076100863840464,2,0.028296517970576838,-0.01284041934192488,3,0.028296517970576838,-0.01284041934192488,3,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3742899129630146,0.07211769086561348,-0.003350711133457839,1,99,0.25801299496358243,0.028296517970576838,0.25801299496358243,0.028296517970576834,-0.010289571324124445,2,99
wf3_selected,3m trailing train dynamic selector,selected_trades,85,2,83,0.13570390804976667,-0.026317650997355443,4,0.026248214831335,-0.03799946866151321,5,0.026248214831335,-0.03799946866151321,5,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.43787613014716775,0.13570390804976662,-0.0036939851364014013,3,145,0.2559646918243406,0.026248214831335,0.2559646918243406,0.02624821483133502,-0.024041261808454714,4,145
static_low_rf_slope_up,in-sample low RF + positive SMA5 slope gate,static_events,96,5,91,0.08916239298894628,-0.02484577342374073,5,0.005969040514898811,-0.0343808700336529,6,0.005969040514898811,-0.0343808700336529,6,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3913346150863474,0.08916239298894629,-0.0036939851364014013,3,153,0.2356855175079044,0.005969040514898811,0.2356855175079044,0.005969040514898799,-0.013447178451265182,4,153
wf5_selected,5m trailing train dynamic selector,selected_trades,48,2,46,0.04336715288688251,-0.0038762027364013076,3,-0.0027748625831862904,-0.013447178451265182,4,-0.0027748625831862904,-0.013447178451265182,4,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3455393749842836,0.043367152886882476,-0.0038762027364013076,3,108,0.2269416144098193,-0.0027748625831862904,0.2269416144098193,-0.002774862583186294,-0.013447178451265182,4,108
static_low_eff_le_q20,in-sample low eff_300s <= q20 structure-quality gate,static_events,113,3,110,0.09769278996911021,-0.021934204404609373,7,-0.04936764093334069,-0.037509706244429515,7,-0.04936764093334069,-0.037509706244429515,7,0.3053329148127901,0.30217222209740113,0.2328809117887866,0.2297164769930056,0.2297164769930056,0.3998650120665113,0.09769278996911018,-0.005610631963955422,2,172,0.1803488360596649,-0.04936764093334069,0.18034883605966492,-0.04936764093334067,-0.019114261896073827,3,172
